inFile:unsortedSalmonLogsMetaData.tsv
sampleName	mappingRate	salmonOut	mapped	unmapped	d	u	m1	m2	m12	index	mate1	mate2
kras.ipsc/data/bulk.data/day.5/ctrl.1	91.6316	locus.te.combined.salmon.out	Na	Na	Na	Na	Na	Na	Na	/public/groups/kimlab/indexes/gen.32.ucsc.rmsk.index	output_forward_paired.fq.gz	output_reverse_paired.fq.gz
kras.ipsc/data/bulk.data/day.5/ctrl.1	91.6315	gencode.te.locus.salmon.out	Na	Na	Na	Na	Na	Na	Na	/public/groups/kimlab/indexes/gen.32.ucsc.rmsk.index	output_forward_paired.fq.gz	output_reverse_paired.fq.gz
kras.ipsc/data/bulk.data/day.5/ctrl.1	90.1188	gencode.v35.ucsc.rmsk.salmon.v1.3.0.sidx	26301125	2452342	1016976	1307960	78421	48985	0	/scratch/aedavids/sel.align.gencode.v35.ucsc.rmsk.salmon.v1.3.0.sidx	/private/groups/kimlab/kras.ipsc/data/bulk.data/day.5/ctrl.1/output_forward_paired.fq.gz	/private/groups/kimlab/kras.ipsc/data/bulk.data/day.5/ctrl.1/output_reverse_paired.fq.gz
kras.ipsc/data/bulk.data/day.5/ctrl.1	89.2505	gencode.salmon.out	Na	Na	Na	Na	Na	Na	Na	/public/groups/kimlab/indexes/gencode.32.v.1.index	output_forward_paired.fq.gz	output_reverse_paired.fq.gz
kras.ipsc/data/bulk.data/day.5/ctrl.2	93.5036	gencode.te.locus.salmon.out	Na	Na	Na	Na	Na	Na	Na	/public/groups/kimlab/indexes/gen.32.ucsc.rmsk.index	output_forward_paired.fq.gz	output_reverse_paired.fq.gz
kras.ipsc/data/bulk.data/day.5/ctrl.2	93.5036	locus.te.combined.salmon.out	Na	Na	Na	Na	Na	Na	Na	/public/groups/kimlab/indexes/gen.32.ucsc.rmsk.index	output_forward_paired.fq.gz	output_reverse_paired.fq.gz
kras.ipsc/data/bulk.data/day.5/ctrl.2	92.095	gencode.v35.ucsc.rmsk.salmon.v1.3.0.sidx	30511935	2226695	1079604	1058104	57022	31965	0	/scratch/aedavids/sel.align.gencode.v35.ucsc.rmsk.salmon.v1.3.0.sidx	/private/groups/kimlab/kras.ipsc/data/bulk.data/day.5/ctrl.2/output_forward_paired.fq.gz	/private/groups/kimlab/kras.ipsc/data/bulk.data/day.5/ctrl.2/output_reverse_paired.fq.gz
kras.ipsc/data/bulk.data/day.5/ctrl.2	91.3666	gencode.salmon.out	Na	Na	Na	Na	Na	Na	Na	/public/groups/kimlab/indexes/gencode.32.v.1.index	output_forward_paired.fq.gz	output_reverse_paired.fq.gz
kras.ipsc/data/bulk.data/day.5/ctrl.3	92.9829	gencode.te.locus.salmon.out	Na	Na	Na	Na	Na	Na	Na	/public/groups/kimlab/indexes/gen.32.ucsc.rmsk.index	output_forward_paired.fq.gz	output_reverse_paired.fq.gz
kras.ipsc/data/bulk.data/day.5/ctrl.3	92.9829	locus.te.combined.salmon.out	Na	Na	Na	Na	Na	Na	Na	/public/groups/kimlab/indexes/gen.32.ucsc.rmsk.index	output_forward_paired.fq.gz	output_reverse_paired.fq.gz
